surface,surface_type,radius_mm,thickness_to_next_mm,material_after,index_193.368_nm,clear_semidiameter_mm,aspheric,K,C1_mm^-3,C2_mm^-5,C3_mm^-7,C4_mm^-9,C5_mm^-11,C6_mm^-13,vertex_z_mm
1,refractive,-404.542022000,36.232225000,SIO2,1.56078570,88.996,False,,,,,,,,0.000000000
2,refractive,-184.402723000,1.000090000,AIR,1.00000000,95.088,True,0,-2.722625e-09,7.584994e-13,9.846612e-17,6.877818e-21,1.011674e-24,-1.051032e-29,36.232225000
3,refractive,674.592973000,51.347982000,SIO2,1.56078570,102.076,False,,,,,,,,37.232315000
4,refractive,-174.232362000,144.581202000,AIR,1.00000000,102.829,False,,,,,,,,88.580297000
5,refractive,-162.800929000,14.999049000,CAF2,1.50185255,53.189,True,0,1.960629e-08,7.765801e-13,1.91774e-17,2.9107e-22,1.224735e-25,-3.42625e-30,233.161499000
6,refractive,-1456.920767000,15.293417000,AIR,1.00000000,63.896,False,,,,,,,,248.160548000
7,mirror,-202.841004000,-15.293417000,REFL,1.00000000,67.884,False,,,,,,,,263.453965000
8,refractive,-1456.920767000,-14.999049000,CAF2,1.50185255,67.836,False,,,,,,,,248.160548000
9,refractive,-162.800929000,-129.581898000,AIR,1.00000000,67.241,True,0,1.960629e-08,7.765801e-13,1.91774e-17,2.9107e-22,1.224735e-25,-3.42625e-30,233.161499000
10,mirror,-2538.490880000,174.873667000,REFL,1.00000000,89.519,True,0,-2.009517e-09,-9.097265e-14,-8.260726e-18,5.085547e-23,-1.203685e-26,-9.728791e-31,103.579601000
11,refractive,-391.507349000,46.632422000,SIO2,1.56078570,140.865,False,,,,,,,,278.453268000
12,refractive,-195.389639000,0.999852000,AIR,1.00000000,144.625,False,,,,,,,,325.085690000
13,refractive,1411.077988000,41.703225000,SIO2,1.56078570,160.805,True,0,4.68886e-12,-1.731249e-13,-6.240777e-19,4.036403e-23,-1.100969e-27,5.706583e-33,326.085542000
14,refractive,-529.305238000,0.999461000,AIR,1.00000000,162.519,False,,,,,,,,367.788767000
15,refractive,1458.778723000,34.033769000,SIO2,1.56078570,165.701,False,,,,,,,,368.788228000
16,refractive,-3002.433858000,1.088813000,AIR,1.00000000,166.002,False,,,,,,,,402.821997000
17,refractive,212.825771000,57.638065000,SIO2,1.56078570,165.361,False,,,,,,,,403.910810000
18,refractive,436.070633000,107.276235000,AIR,1.00000000,157.551,True,0,1.982111e-08,-8.423501e-14,-7.592975e-19,1.931064e-22,-5.204262e-27,8.86332e-32,461.548875000
19,refractive,807.065576000,13.824876000,SIO2,1.56078570,136.972,True,0,1.777327e-08,3.329332e-13,2.038481e-20,7.26394e-22,-3.379214e-26,6.878653e-31,568.825110000
20,refractive,290.022861000,105.550931000,AIR,1.00000000,129.323,False,,,,,,,,582.649986000
21,refractive,153.210365000,45.794134000,SIO2,1.56078570,102.069,False,,,,,,,,688.200917000
22,refractive,136.220631000,56.777310000,AIR,1.00000000,85.525,False,,,,,,,,733.995051000
